x,y,colour
-1.7918379,3.3515517,orange
2.1413173,-7.8214657,blue
-9.661101,3.9418242,blue
-0.0642124,8.8095276,orange
-0.0338363,6.3309595,orange
7.1422527,9.0673322,orange
-8.5168792,-7.1619963,orange
4.3340481,0.5610359,blue
7.0420592,-0.2571714,blue
9.9512342,3.222168,orange
-6.683881,8.5897489,blue
5.3948318,-4.8491712,blue
-1.4603029,0.7883353,blue
-3.8634639,6.6800372,blue
5.2027245,7.820973,orange
7.7099967,-7.5753489,blue
-2.8910428,0.0801666,orange
-9.4328621,-8.1689762,orange
9.2072411,-2.2629452,blue
5.6653757,7.4410432,orange
-9.0879542,-9.0711212,orange
9.3615611,-1.1383219,blue
-4.6737104,-2.2434,orange
6.5239717,-5.3049616,blue
9.5770418,-2.6758188,blue
-7.9216836,-2.2075175,orange
7.1325663,-3.4489392,blue
2.0995874,3.6708056,orange
-5.3949801,-9.6690817,orange
-6.3641412,-0.9461051,orange
5.7795746,8.0949102,orange
4.4623769,-1.2678417,blue
-9.0317028,-3.9279556,orange
-5.1712246,2.1165973,blue
6.0355038,-8.9349522,blue
5.5181329,-9.3024122,blue
0.186985,-4.989662,blue
-3.6213098,9.0384606,blue
2.1082923,2.3794151,orange
0.1219356,-6.9516783,blue
-9.7172177,-6.5393896,orange
-2.3166768,-5.6895599,orange
1.5677121,7.2688485,orange
-3.7082255,3.850392,blue
7.775396,8.0960101,orange
-8.238108,-1.4207931,orange
9.8098353,-3.9686057,blue
-6.3721088,0.6492011,orange
7.9253934,-6.6481708,blue
-0.0185316,-9.8708238,blue
7.637082,-5.2709912,blue
-7.7381325,2.7540971,blue
5.0913717,-8.0026588,blue
8.2974435,4.8585261,orange
-0.9183014,9.1808299,orange
-8.9168124,0.5349083,orange
3.9353487,3.197999,orange
-9.7917387,-1.2305098,orange
-8.3730158,4.0003361,blue
-7.9638983,3.5076908,blue
4.3157869,2.3363964,orange
-0.0634707,-9.6603509,blue
-5.700793,-4.9461259,orange
-8.8589415,-4.8221835,orange
8.3143686,1.5399559,orange
-0.7283021,9.6943206,orange
5.3013403,3.0152929,orange
0.7023721,-7.8950778,blue
-4.5801498,-8.2696052,orange
5.7416902,0.0259752,blue
-4.6048201,1.293061,blue
3.3504073,1.4931472,orange
-8.6799974,-2.0332052,orange
-0.4588206,-4.9701406,blue
-8.3148902,6.5801029,blue
2.9337702,6.9158226,orange
4.078293,9.4656448,orange
-8.0967004,-2.7689632,orange
6.2381609,2.6884415,orange
-3.4313153,9.7090485,blue
0.1171261,8.7958836,orange
2.9478351,4.4677506,orange
0.4114834,-7.8837972,blue
-7.3088069,7.3887007,blue
-6.8304102,3.7092029,blue
3.8325591,-3.1042478,blue
-2.3130401,7.9907015,blue
-6.3012701,6.7210306,blue
7.7702264,4.5887843,orange
-8.3975456,-3.6625746,orange
-8.545779,7.515804,blue
-2.7954362,1.6223305,blue
-0.7305346,-7.7925457,blue
5.5710899,-7.1596685,blue
-2.2845818,5.1751665,blue
-8.5633883,-4.1018315,orange
4.3831187,7.1438274,orange
5.2911667,-9.4061446,blue
2.5526445,-1.4627908,blue
0.301935,2.5399911,orange
-4.8482086,-6.5952339,orange
1.7422945,5.827183,orange
1.5219987,-7.7773857,blue
3.6975923,-7.5059995,blue
6.2725608,-8.0400012,blue
8.4961692,-0.7758101,blue
6.8125039,9.1718514,orange
6.0658329,-9.3923837,blue
-4.0251216,0.8203547,orange
-5.1494607,2.4990892,blue
3.0428697,7.4880866,orange
2.4365357,9.7245472,orange
-3.2063939,-3.5914054,orange
1.8402595,-0.1964189,blue
-2.9877852,-6.8192183,orange
3.2150456,1.3510811,orange
9.5908452,9.6676075,orange
-1.7042946,7.8533307,orange
8.5645441,5.3301984,orange
7.1133657,5.7461157,orange
3.9457343,-7.3637344,blue
-8.3881217,-1.2735823,orange
2.0848403,-4.6206849,blue
0.1613001,8.1693616,orange
-2.3848088,1.7902295,blue
6.7172499,-7.7429276,blue
-0.8733439,-6.5492072,blue
-9.0954235,0.0189521,orange
-8.923029,6.3039018,blue
8.9651719,-1.6372911,blue
0.1947128,-9.9883021,blue
-6.4175099,-9.1959696,orange
-0.5038739,-8.8837982,blue
-9.8725307,2.8040719,blue
-7.8107693,-2.6361956,orange
-1.5170909,-4.402362,blue
3.5450237,5.6038899,orange
-5.73222,-5.6201095,orange
8.177116,-1.7331067,blue
1.1239779,7.5951961,orange
9.2124861,-3.3200677,blue
2.5283728,0.2195067,blue
9.960112,3.5948721,orange
-2.0897925,2.8759599,blue
0.449404,9.9363107,orange
9.9742751,1.3343821,orange
-4.4497931,4.8399907,blue
-5.2427458,-7.2187067,orange
9.7679611,-2.3150086,blue
5.7398837,8.4756721,orange
-7.4545842,4.6666591,blue
8.3349495,2.9566581,orange
-2.2954386,-8.3748161,orange
-7.7836266,-6.0144393,orange
-0.2987292,-3.2426967,blue
-2.8420661,3.2113591,blue
-5.6748796,-4.5951835,orange
7.3289093,6.9373486,orange
2.3303069,-2.6503816,blue
-2.8190136,0.4564135,orange
6.4205174,6.343797,orange
-2.7466313,-6.864811,orange
0.5872918,-6.1372656,blue
-1.5389923,-9.7015825,blue
7.7848791,-5.5410353,blue
6.7498918,-3.6230009,blue
